"","NP","date","n.uptake.ug.m2.sec.2.5%","n.uptake.ug.m2.sec.50%","n.uptake.ug.m2.sec.97.5%","n.status","binary","nutrient"
"1",  8,2011-08-03,-13.18406267, -9.32437476, -5.36939770,"release",-1,"DIN"
"2", 32,2011-08-03,-15.62107212,-11.78097185, -8.39893446,"release",-1,"DIN"
"3",  8,2011-08-22,  3.54949235,  3.98409667,  4.77772014,"uptake", 1,"DIN"
"4", 32,2011-08-22,-28.76978894,-22.12455202,-16.26095634,"release",-1,"DIN"
"5",  2,2011-09-06,  1.82153481,  1.98012675,  2.23930083,"uptake", 1,"DIN"
"6",  8,2011-09-06,  8.83337045,  9.96255178, 11.45044996,"uptake", 1,"DIN"
"7", 16,2011-09-06,-17.11625762, -4.61352122,  3.02385805,"balanced", 0,"DIN"
"8", 32,2011-09-06,  1.31698881,  1.68857098,  2.15779593,"uptake", 1,"DIN"
"9",128,2011-09-06,  4.16691486,  7.26521286,  9.93917315,"uptake", 1,"DIN"
"10",  2,2011-10-10, -0.23049950,  0.08208411,  0.22966669,"balanced", 0,"DIN"
"11", 32,2011-10-10, -8.52663233, -5.75946670, -3.48719481,"release",-1,"DIN"
"12",128,2011-10-10,-11.37564965, -2.09825012,  2.27596579,"balanced", 0,"DIN"
"13",  2,2011-10-24,  1.17000119,  1.38759229,  1.79917771,"uptake", 1,"DIN"
"14",  8,2011-10-24,-28.30155081,-22.75518101,-16.60175406,"release",-1,"DIN"
"15", 16,2011-10-24,-24.38383131,-10.67493885, -1.61146705,"release",-1,"DIN"
"16", 32,2011-10-24, -5.18230004, -3.48318612, -1.96830877,"release",-1,"DIN"
"17",128,2011-10-24, -9.58668962, -4.79665383, -1.75792938,"release",-1,"DIN"
"18",  2,2011-11-06,  0.47302083,  0.62315273,  0.74795508,"uptake", 1,"DIN"
"19",  8,2011-11-06,-50.71899933,-41.28667182,-30.64205699,"release",-1,"DIN"
"20", 16,2011-11-06,-30.73803607,-16.76897488, -7.80217172,"release",-1,"DIN"
"21", 32,2011-11-06, -8.98073945, -6.72830581, -4.74045025,"release",-1,"DIN"
"22",128,2011-11-06,-10.27954315, -6.65731411, -4.05455567,"release",-1,"DIN"
