"","NP","date","p.uptake.ug.m2.sec.2.5%","p.uptake.ug.m2.sec.50%","p.uptake.ug.m2.sec.97.5%","p.status","binary","nutrient"
"1","2",2011-07-25, 4.431190e-01, 5.907771e-01, 7.912171e-01,"uptake", 1.1,"SRP"
"2","8",2011-07-25,-2.367179e+00,-9.037145e-01, 6.633066e-01,"balanced", 0.1,"SRP"
"3","2",2011-08-03,-4.782478e-01, 2.825820e-02, 2.434991e-01,"balanced", 0.1,"SRP"
"4","32",2011-08-03,-1.695799e+00,-1.274307e+00,-9.029584e-01,"release",-0.9,"SRP"
"5","128",2011-08-03,-3.000168e-01,-1.049779e-01,-1.142599e-02,"release",-0.9,"SRP"
"6","8",2011-08-22,-7.340268e+00,-5.280433e+00,-3.217533e+00,"release",-0.9,"SRP"
"7","16",2011-08-22,-7.647418e+00,-4.294165e+00,-1.866132e+00,"release",-0.9,"SRP"
"8","32",2011-08-22,-9.208093e-01,-6.580884e-01,-4.274443e-01,"release",-0.9,"SRP"
"9","2",2011-09-06, 1.437970e+00, 1.715849e+00, 1.964680e+00,"uptake", 1.1,"SRP"
"10","8",2011-09-06,-9.914206e+00,-7.516386e+00,-4.838895e+00,"release",-0.9,"SRP"
"11","16",2011-09-06,-3.012937e+00,-8.797468e-01, 3.838572e-01,"balanced", 0.1,"SRP"
"12","32",2011-09-06,-2.547554e-01,-1.161499e-01, 6.770106e-03,"balanced", 0.1,"SRP"
"13","128",2011-09-06,-1.190824e-01,-3.127634e-02, 3.510489e-02,"balanced", 0.1,"SRP"
"14","2",2011-10-10, 2.258762e-02, 2.740186e-01, 4.685488e-01,"uptake", 1.1,"SRP"
"15","16",2011-10-10,-2.493756e+00,-1.820676e-01, 9.616084e-01,"balanced", 0.1,"SRP"
"16","32",2011-10-10,-6.084127e-01,-3.857962e-01,-2.009543e-01,"release",-0.9,"SRP"
"17","128",2011-10-10, 9.573544e-02, 1.218681e-01, 1.602086e-01,"uptake", 1.1,"SRP"
