"","date.time","RECORD","stream","Batt_V_","LoggerTemp_C_","PAR_umol_s_m2_Avg","WaterDep","Discharge_Ls_Avg","total.discharge","average.water.etmp","number.of.strokes","previous.min","previous.max"
"90",2011-07-16 12:00:00,89,"WS10",13.03,15.58,6.225,0.08575445,13.1732,11855.88,14.16,118,0.08316065,0.08702967
"186",2011-07-17 12:00:00,185,"WS10",13.84,16.82,34.37844,0.08245854,12.1282,10915.38,14.2,109,0.08220847,0.08552898
"282",2011-07-18 12:00:00,281,"WS10",13.54,18.73,34.87613,0.08395234,12.5962,11336.58,14.54,113,0.08111268,0.0857985
"378",2011-07-19 12:00:00,377,"WS10",13.63,19.83,49.76009,0.08308722,12.32401,11091.61,14.94,111,0.08145684,0.08519493
"474",2011-07-20 12:00:00,473,"WS10",13.83,20.77,48.66835,0.08351677,12.45874,11212.87,15.31,112,0.08234307,0.08540171
"570",2011-07-21 12:00:00,569,"WS10",13.6,20.65,45.30859,0.08494709,12.913,11621.7,15.58,116,0.08163998,0.1009086
"666",2011-07-22 12:00:00,665,"WS10",13.39,20.63,3.876456,0.08392296,12.58686,11328.17,15.68,113,0.08339836,0.08520605
"762",2011-07-23 12:00:00,761,"WS10",13.6,20.01,21.57196,0.08303756,12.30861,11077.75,15.7,111,0.08274873,0.08861116
"858",2011-07-24 12:00:00,857,"WS10",13.53,20.09,6.482627,0.08163822,11.87517,10687.66,15.66,107,0.08038571,0.08337191
"954",2011-07-25 12:00:00,953,"WS10",13.48,19.61,18.0493,0.08150451,11.83417,10650.75,15.55,107,0.08001987,0.08210464
"1050",2011-07-26 12:00:00,1049,"WS10",13.64,19.63,29.56419,0.0822557,12.06537,10858.83,15.42,109,0.08105539,0.08397195
"1146",2011-07-27 12:00:00,1145,"WS10",13.55,20.18,6.788962,0.07946604,11.21866,10096.79,15.58,101,0.07950439,0.08230168
"1242",2011-07-28 12:00:00,1241,"WS10",13.61,20.46,35.76723,0.07855762,10.94996,9854.96,15.7,98,0.07784222,0.07969577
"1338",2011-07-29 12:00:00,1337,"WS10",13.66,20.8,14.39309,0.07801963,10.79239,9713.15,15.72,97,0.07724039,0.07917457
"1434",2011-07-30 12:00:00,1433,"WS10",13.55,20.48,52.37821,0.07919762,11.1389,10025.01,15.85,101,0.07779633,0.09164959
"1530",2011-07-31 12:00:00,1529,"WS10",13.44,20.23,2.263326,0.07778449,10.72392,9651.53,15.82,97,0.07771727,0.07916212
"1631",2011-06-28 12:00:00,80,"WS10",13.56,19.04,75.30105,0.1109648,24.49144,22042.3,14.72,220,0.1107016,0.1124139
"1727",2011-06-29 12:00:00,176,"WS10",13.49,18.19,74.74355,0.1100208,24.04881,21643.93,14.43,216,0.1096571,0.111596
"1823",2011-06-30 12:00:00,272,"WS10",13.51,18.91,74.54301,0.1073819,22.83426,20550.84,14.5,206,0.1077274,0.1100028
