date.time,stream,PAR_umol_s_m2_Avg,WaterDep,average.water.etmp,number.of.strokes
2011-07-16 12:00,WS10,6.225,0.08575445,14.16,118
2011-07-17 12:00,WS10,34.37844,0.08245854,14.2,109
2011-07-18 12:00,WS10,34.87613,0.08395234,14.54,113
2011-07-19 12:00,WS10,49.76009,0.08308722,14.94,111
2011-07-20 12:00,WS10,48.66835,0.08351677,15.31,112
2011-07-21 12:00,WS10,45.30859,0.08494709,15.58,116
2011-07-22 12:00,WS10,3.876456,0.08392296,15.68,113
2011-07-23 12:00,WS10,21.57196,0.08303756,15.7,111
2011-07-24 12:00,WS10,6.482627,0.08163822,15.66,107
2011-07-25 12:00,WS10,18.0493,0.08150451,15.55,107
2011-07-26 12:00,WS10,29.56419,0.0822557,15.42,109
2011-07-27 12:00,WS10,6.788962,0.07946604,15.58,101
2011-07-28 12:00,WS10,35.76723,0.07855762,15.7,98
2011-07-29 12:00,WS10,14.39309,0.07801963,15.72,97
2011-07-30 12:00,WS10,52.37821,0.07919762,15.85,101
2011-07-31 12:00,WS10,2.263326,0.07778449,15.82,97
2011-06-28 12:00,WS10,75.30105,0.1109648,14.72,220
2011-06-29 12:00,WS10,74.74355,0.1100208,14.43,216
2011-06-30 12:00,WS10,74.54301,0.1073819,14.5,206
2011-07-01 12:00,WS10,49.88629,0.09985138,14.56,176
2011-07-02 12:00,WS10,59.99553,0.09633458,14.71,163
2011-07-03 12:00,WS10,17.14339,0.09381621,14.82,154
2011-07-04 12:00,WS10,25.77185,0.09654365,14.89,164
2011-07-05 12:00,WS10,7.323493,0.09672794,14.69,164
2011-07-06 12:00,WS10,6.901859,0.09586146,14.37,162
2011-07-07 12:00,WS10,3.217711,0.101141,14.54,182
2011-07-08 12:00,WS10,35.92694,0.09506879,14.72,160
2011-07-09 12:00,WS10,34.27784,0.09614389,14.82,164
2011-07-10 12:00,WS10,16.83525,0.08816568,15.03,136
2011-07-11 12:00,WS10,5.120805,0.08653969,15.15,131
2011-07-12 12:00,WS10,13.13001,0.08579549,15.18,128
2011-07-13 12:00,WS10,13.6053,0.08425003,15.48,124
2011-07-14 12:00,WS10,34.80859,0.08500305,15.34,126
2011-07-15 12:00,WS10,3.122149,0.08404526,14.77,123
2011-06-28 12:00,WS07,22.65923,0.1687562,15.53,294
2011-06-29 12:00,WS07,18.78568,0.1614272,15.3,251
2011-06-30 12:00,WS07,17.53994,0.1550324,15.35,217
2011-07-01 12:00,WS07,11.93247,0.1510258,15.48,197
2011-07-02 12:00,WS07,29.96009,0.1490321,15.64,189
2011-07-03 12:00,WS07,23.39864,0.1470346,15.92,180
2011-07-04 12:00,WS07,19.85158,0.1470716,15.99,180
2011-07-05 12:00,WS07,6.705646,0.145542,15.78,173
2011-07-27 12:00,WS08,235.4912,0.07619395,15.75,14
2011-07-28 12:00,WS08,10.13834,0.06794354,16.31,43
2011-07-29 12:00,WS08,10.3278,0.06328904,15.9,36
2011-07-30 12:00,WS08,201.897,0.05405379,15.91,24
2011-07-31 12:00,WS08,28.67477,0.05414897,15.86,24
2011-06-28 12:00,WS08,23.81339,0.06019365,15.05,3
2011-06-29 12:00,WS08,46.53819,0.05927123,14.69,4
2011-06-30 12:00,WS08,14.13983,0.05881916,14.69,3
2011-07-01 12:00,WS08,22.66603,0.05104383,15.13,2
2011-07-02 12:00,WS08,18.70499,0.04935638,15.37,1
2011-07-03 12:00,WS08,24.21015,0.04929423,15.56,1
2011-07-04 12:00,WS08,16.04667,0.052047,15.52,1
2011-07-05 12:00,WS08,10.9232,0.04981926,15.42,2
2011-07-06 12:00,WS08,7.629223,0.04795188,15.27,1
2011-07-07 12:00,WS08,10.21644,0.04667218,15.32,17
2011-07-08 12:00,WS08,15.03916,0.0463154,15.41,16
2011-07-09 12:00,WS08,21.37181,0.05037452,15.35,20
2011-07-10 12:00,WS08,11.76841,0.0604504,15.55,32
2011-07-11 12:00,WS08,9.033473,0.05939832,15.46,30
2011-07-12 12:00,WS08,7.486408,0.06905452,15.65,45
2011-07-13 12:00,WS08,8.416529,0.07412851,15.77,54
2011-07-14 12:00,WS08,8.687002,0.07583299,15.9,57
2011-06-28 12:00,WS09,16.19546,0.05960804,16.26,14
2011-06-29 12:00,WS09,16.96414,0.0573534,16.27,12
2011-06-30 12:00,WS09,17.57625,0.05688526,16.37,11
2011-07-01 12:00,WS09,6.666939,0.05811045,16.44,12
2011-07-02 12:00,WS09,7.756983,0.05664577,16.54,11
2011-07-03 12:00,WS09,8.590233,0.05616757,16.77,11
2011-07-04 12:00,WS09,7.855712,0.05866619,16.79,13
2011-07-05 12:00,WS09,4.263039,0.05788979,16.7,12
2011-07-06 12:00,WS09,4.410079,0.05763913,16.56,12
2011-08-01 12:00,WS10,106.7613,0.08094322,15.66,105
2011-08-02 12:00,WS10,52.2198,0.07866735,15.66,99
2011-08-03 12:00,WS10,45.19619,0.07882045,15.66,99
