Stream,NP,Meter,Date,NO3-N,NH4-N,DIN,PO4-P
WS06,32,70,2011-07-13,758,176,934,
WS07,128,70,2011-07-13,351,101,452,6
WS08,16,70,2011-07-13,767,269,1036,
WS09,2,70,2011-07-13,142,63,205,147
WS10,8,70,2011-07-13,246,147,393,
WS07,128,70,2011-07-16,,,,10
WS08,16,70,2011-07-16,,,,89
WS09,2,70,2011-07-16,42,31,73,33
WS10,8,70,2011-07-16,404,213,617,112
WS06,32,70,2011-07-19,948,282,1230,38
WS07,128,70,2011-07-19,388,235,623,7
WS08,16,70,2011-07-19,,,,50
WS09,2,70,2011-07-19,215,58,273,38
WS10,8,70,2011-07-19,,,,111
WS06,32,70,2011-07-22,749,142,891,55
WS06,32,70,2011-07-22,968,168,1136,49
WS07,128,70,2011-07-22,,,,11
WS07,128,70,2011-07-22,791,282,1073,8
WS08,16,70,2011-07-22,0,85,85,21
WS09,2,70,2011-07-22,85,95,180,99
WS09,2,70,2011-07-22,76,20,96,96
WS10,8,70,2011-07-22,295,133,428,133
WS10,8,70,2011-07-22,341,132,473,111
WS06,32,70,2011-07-25,,,,
WS07,128,70,2011-07-25,,,,7
WS08,16,70,2011-07-25,729,552,1281,46
WS09,2,70,2011-07-25,0,77,77,30
WS10,8,70,2011-07-25,,,,94
WS06,32,70,2011-08-03,866,107,973,78
WS07,128,70,2011-08-03,,,,19
WS08,16,70,2011-08-03,1193,59,1252,19
WS09,2,70,2011-08-03,,,,53
WS10,8,70,2011-08-03,347,273,620,88
WS06,32,70,2011-08-15,729,110,839,43
WS07,128,70,2011-08-15,,,,12
WS08,16,70,2011-08-15,307,78,385,16
WS10,8,70,2011-08-15,,,,118
WS06,32,70,2011-08-22,1127,119,1246,50
WS07,128,70,2011-08-22,,,,
WS08,16,70,2011-08-22,,,,82
WS10,8,70,2011-08-22,0,63,63,97
WS06,32,70,2011-09-06,239,80,319,23
WS07,128,70,2011-09-06,244,115,359,10
WS08,16,70,2011-09-06,121,49,170,18
WS09,2,70,2011-09-06,25,22,47,35
WS10,8,70,2011-09-06,219,101,320,119
WS06,32,70,2011-09-13,276,50,326,55
WS07,128,70,2011-09-13,279,50,329,17
WS08,16,70,2011-09-13,,176,,66
WS09,2,70,2011-09-13,7,7,14,19
WS10,8,70,2011-09-13,232,123,355,168
WS06,32,70,2011-09-20,,4,,47
WS07,128,70,2011-09-20,,145,,7
WS08,16,70,2011-09-20,,43,,28
WS09,2,70,2011-09-20,5,7,12,2
WS10,8,70,2011-09-20,244,64,308,139
WS06,32,70,2011-09-27,1209,90,1299,46
WS07,128,70,2011-09-27,957,144,1101,7
WS08,16,70,2011-09-27,129,57,186,27
WS09,2,70,2011-09-27,18,10,28,29
WS10,8,70,2011-09-27,,,,
WS06,32,70,2011-10-10,603,3,607,37
WS07,128,70,2011-10-10,498,189,687,3
WS08,16,70,2011-10-10,,,,86
WS09,2,70,2011-10-10,81,28,109,28
WS10,8,70,2011-10-10,121,8,129,121
WS06,32,70,2011-10-24,418,0,418,28
WS07,128,70,2011-10-24,312,68,381,2
WS08,16,70,2011-10-24,573,68,641,
WS09,2,70,2011-10-24,0,1,1,63
WS10,8,70,2011-10-24,237,2,239,
WS06,32,70,2011-11-06,540,31,571,48
WS07,128,70,2011-11-06,188,155,344,2
WS08,16,70,2011-11-06,547,224,771,90
WS09,2,70,2011-11-06,25,10,35,107
WS10,8,70,2011-11-06,275,99,373,
WS06,32,70,2011-11-21,85,0,85,25
WS07,128,70,2011-11-21,282,83,365,2
WS08,16,70,2011-11-21,505,310,814,80
WS09,2,70,2011-11-21,175,9,184,71
WS10,8,70,2011-11-21,,,,168
WS06,32,70,2011-12-04,158,333,491,17
WS07,128,70,2011-12-04,163,346,510,2
WS08,16,70,2011-12-04,196,36,232,27
WS09,2,70,2011-12-04,79,121,199,78
WS10,8,70,2011-12-04,,,,58
WS06,32,70,2011-12-18,81,69,150,24
WS07,128,70,2011-12-18,54,75,129,
WS08,16,70,2011-12-18,123,1,124,38
WS09,2,70,2011-12-18,15,0,15,105
WS10,8,70,2011-12-18,,,,69
WS06,32,70,2011-12-30,250,22,272,30
WS07,128,70,2011-12-30,79,32,112,16
WS08,16,70,2011-12-30,100,269,369,31
WS09,2,70,2011-12-30,20,0,20,108
WS10,8,70,2011-12-30,251,169,419,49
WS06,32,70,2012-01-23,125,37,162,17
WS07,128,70,2012-01-23,66,46,112,3
WS08,16,70,2012-01-23,110,48,158,16
WS09,2,70,2012-01-23,99,68,167,141
WS10,8,70,2012-01-23,172,58,230,37
WS06,32,70,2012-02-06,226,113,339,14
WS07,128,70,2012-02-06,171,86,257,3
WS08,16,70,2012-02-06,97,49,146,35
WS09,2,70,2012-02-06,52,26,78,70
WS10,8,70,2012-02-06,139,70,209,55
WS06,32,70,2012-02-27,184,92,276,12
WS08,16,70,2012-02-27,96,48,144,40
WS09,2,70,2012-02-27,56,28,84,105
WS10,8,70,2012-02-27,168,84,252,72
WS06,32,70,2012-03-12,142,71,213,2
WS07,128,70,2012-03-12,330,165,495,2
WS08,16,70,2012-03-12,333,167,500,65
WS09,2,70,2012-03-12,48,24,72,55
WS10,8,70,2012-03-12,102,51,153,3
WS06,32,70,2012-03-26,291,146,437,14
WS07,128,70,2012-03-26,338,169,507,8
WS08,16,70,2012-03-26,420,210,630,58
WS09,2,70,2012-03-26,0,0,0,56
WS10,8,70,2012-03-26,96,48,144,35
WS06,32,70,2012-04-09,282,141,423,21
WS07,128,70,2012-04-09,251,126,377,8
WS08,16,70,2012-04-09,270,135,405,50
WS09,2,70,2012-04-09,84,42,126,56
WS10,8,70,2012-04-09,44,22,66,53
WS06,32,70,2012-04-21,146,73,219,16
WS07,128,70,2012-04-21,103,52,155,6
WS08,16,70,2012-04-21,215,108,323,35
WS09,2,70,2012-04-21,57,29,86,18
WS10,8,70,2012-04-21,82,41,123,69
WS06,32,70,2012-05-07,233,54,287,14
WS07,128,70,2012-05-07,413,238,651,9
WS08,16,70,2012-05-07,461,175,637,71
WS09,2,70,2012-05-07,125,20,146,62
WS10,8,70,2012-05-07,167,91,258,161
WS06,32,70,2012-05-17,191,11,202,17
