"","stream","date","N.L","P.L","Total.added.L","conc.p.added","conc.DIN.added","conc.DIN.in.barrel","conc.srp.in.barrel"
"1","WS06",2011-07-11,10.5,0.6998,20,16.074406,144.9,144.9,16.074406
"2","WS06",2011-07-12,10.5,0.6998,20,16.074406,144.9,144.9,16.074406
"3","WS06",2011-07-13,10.5,0.6998,20,16.074406,144.9,144.9,16.074406
"4","WS06",2011-07-14,10.5,0.6998,20,16.074406,144.9,144.9,16.074406
"5","WS06",2011-07-15,1.574,0.1,3,15.3133333333333,144.808,144.8862,15.9602451
"6","WS06",2011-07-16,1.574,0.1,3,15.3133333333333,144.808,144.8862,15.9602451
"7","WS06",2011-07-17,1.574,0.1,3,15.3133333333333,144.808,144.8862,15.9602451
"8","WS06",2011-07-18,1.574,0.1,3,15.3133333333333,144.808,144.8862,15.9602451
"9","WS06",2011-07-19,1.574,0.1,3,15.3133333333333,144.808,144.8862,15.9602451
"10","WS06",2011-07-20,1.574,0.1,3,15.3133333333333,144.808,144.8862,15.9602451
"11","WS06",2011-07-21,1.574,0.1,3,15.3133333333333,144.808,144.8862,15.9602451
"12","WS06",2011-07-22,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"13","WS06",2011-07-23,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"14","WS06",2011-07-24,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"15","WS06",2011-07-25,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"16","WS06",2011-07-26,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"17","WS06",2011-07-27,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"18","WS06",2011-07-28,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"19","WS06",2011-07-29,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"20","WS06",2011-07-30,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"21","WS06",2011-07-31,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"22","WS06",2011-08-01,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"23","WS06",2011-08-02,3.912,0.276,7.5,16.90592,143.9616,144.539475,16.3148731875
"24","WS06",2011-08-03,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"25","WS06",2011-08-04,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"26","WS06",2011-08-05,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"27","WS06",2011-08-06,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"28","WS06",2011-08-07,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"29","WS06",2011-08-08,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"30","WS06",2011-08-09,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"31","WS06",2011-08-10,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"32","WS06",2011-08-11,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
"33","WS06",2011-08-12,3.9,0.28,7.5,17.1509333333333,143.52,144.157171875,16.6283957421875
