date,stream,flow.rate.ml.stroke
2011-09-06,WS06,0.188
2011-09-12,WS06,0.2
2011-10-03,WS06,0.19
2011-10-10,WS06,0.16
2011-10-24,WS06,0.2
2011-11-21,WS06,0.18
2011-11-30,WS06,0.2
2011-12-11,WS06,0.18
2012-01-23,WS06,0.17
2012-02-06,WS06,0.2
2012-02-23,WS06,0.2
2012-02-27,WS06,0.2
2012-03-05,WS06,0.16
2012-03-16,WS06,0.24
2012-04-09,WS06,0.17
2012-04-15,WS06,0.24
2012-04-21,WS06,0.2
2012-05-17,WS06,0.14
2012-06-22,WS06,0.2
2012-07-13,WS06,0.2
2012-08-03,WS06,0.2
2011-12-04,WS06,0.175
2012-03-12,WS06,0.225
2012-03-26,WS06,0.24
2012-06-15,WS06,0.25
2012-09-06,WS06,0.2
2012-09-13,WS06,0.2
2012-12-11,WS06,0.2
2012-12-28,WS06,0.19
2013-01-04,WS06,0.16
2013-01-10,WS06,0.24
2013-01-18,WS06,0.2
2013-01-21,WS06,0.19
2013-01-26,WS06,0.19
2013-01-31,WS06,0.19
2013-02-08,WS06,0.22
2013-02-11,WS06,0.21
2013-02-14,WS06,0.19
2013-02-18,WS06,0.2
2013-02-22,WS06,0.225
2013-02-26,WS06,0.2
2011-07-06,WS06,0.2
2011-07-15,WS06,0.25
2011-07-31,WS06,0.15
2011-08-09,WS06,0.18
2011-08-11,WS06,0.2
2011-08-26,WS06,0.21
2013-03-11,WS06,0.2
2013-03-15,WS06,0.2
2013-03-19,WS06,0.21
2013-03-25,WS06,0.18
2013-04-04,WS06,0.21
2013-04-21,WS06,0.26
2013-05-02,WS06,0.2
2013-05-06,WS06,0.21
2013-05-16,WS06,0.25
2013-05-24,WS06,0.2
2013-05-30,WS06,0.225
2013-06-07,WS06,0.19
2013-07-01,WS06,0.15
2013-07-15,WS06,0.21
2011-09-06,WS07,0.4
2011-10-03,WS07,0.4
2011-10-10,WS07,0.4
2011-10-24,WS07,0.4
2011-11-21,WS07,0.4
2012-01-23,WS07,0.32
2012-02-06,WS07,0.4
2012-02-23,WS07,0.41
2012-02-27,WS07,0.46
2012-03-05,WS07,0.38
2012-03-16,WS07,0.39
2012-04-09,WS07,0.41
2012-04-15,WS07,0.21
2012-05-17,WS07,0.4
2012-06-22,WS07,0.4
2012-07-13,WS07,0.4
2012-08-03,WS07,0.4
2011-12-04,WS07,0.35
2012-03-12,WS07,0.36
2012-03-26,WS07,0.39
2012-09-06,WS07,0.4
2012-09-13,WS07,0.4
2012-12-11,WS07,0.34
2012-12-28,WS07,0.3
2013-01-04,WS07,0.275
2013-01-10,WS07,0.44
2013-01-18,WS07,0.35
2013-01-21,WS07,0.36
2013-01-26,WS07,0.39
2013-01-31,WS07,0.3
2013-02-08,WS07,0.4
2013-02-11,WS07,0.395
2013-02-14,WS07,0.39
2013-02-18,WS07,0.275
2013-02-22,WS07,0.35
2013-02-26,WS07,0.4
2011-07-06,WS07,0.4
2011-07-31,WS07,0.42
2011-08-09,WS07,0.4
2011-08-11,WS07,0.4
2013-03-11,WS07,0.4
2013-03-15,WS07,0.36
2013-03-19,WS07,0.39
2013-03-25,WS07,0.2
2013-04-21,WS07,0.4
2013-05-16,WS07,0.42
2013-05-24,WS07,0.4
2013-05-30,WS07,0.385
2013-06-07,WS07,0.4
