stream,date,"Fungal biomass, mg/g AFDM"
WS06,2010-06-22,38.57
WS06,2010-06-22,24.59
WS06,2010-06-22,20.49
WS06,2010-06-22,24.61
WS06,2010-10-09,10.26
WS06,2010-10-09,10.67
WS06,2010-10-09,8.37
WS06,2010-10-09,20.84
WS06,2011-01-07,37.87
WS06,2011-01-07,36.28
WS06,2011-01-07,70.45
WS06,2011-01-07,61.59
WS06,2011-04-16,43.4
WS06,2011-04-16,35.36
WS06,2011-04-16,49.04
WS06,2011-04-16,44.38
WS06,2011-07-06,56.69
WS06,2011-07-06,39.96
WS06,2011-07-06,42.64
WS06,2011-07-06,114.79
WS06,2011-08-17,28.83
WS06,2011-08-17,14.67
WS06,2011-08-17,47.66
WS06,2011-08-17,93.53
WS06,2011-10-24,23.49
WS06,2011-10-24,21.28
WS06,2011-10-24,22.9
WS06,2011-10-24,21.3
WS06,2012-01-02,67.01
WS06,2012-01-02,74.85
WS06,2012-01-02,41.01
WS06,2012-01-02,61.96
WS06,2012-04-22,44.46
WS06,2012-04-22,45.04
WS06,2012-04-22,44.67
WS06,2012-04-22,58.87
WS06,2012-06-28,18.42
WS06,2012-06-28,33.35
WS06,2012-06-28,29.25
WS06,2012-06-28,86.28
WS06,2012-10-13,48.83
WS06,2012-10-13,33.88
WS06,2012-10-13,16.95
WS06,2012-10-13,29.82
WS06,2013-01-02,53.32
WS06,2013-01-02,46.71
WS06,2013-01-02,58.96
WS06,2013-01-02,61.06
WS06,2013-04-20,59.79
WS06,2013-04-20,41.9
WS06,2013-04-20,51.01
WS06,2013-04-20,42.89
WS06,2013-07-08,48.57
WS06,2013-07-08,57.54
WS06,2013-07-08,60.57
WS06,2013-07-08,91.54
WS07,2010-06-22,51.73
WS07,2010-06-22,34.28
WS07,2010-06-22,43.7
WS07,2010-06-22,40.73
WS07,2010-10-09,15.16
WS07,2010-10-09,11.64
WS07,2010-10-09,11.97
WS07,2010-10-09,14.49
WS07,2011-01-07,43.09
WS07,2011-01-07,45.43
WS07,2011-01-07,71.04
WS07,2011-01-07,39.94
WS07,2011-04-16,66.58
WS07,2011-04-16,29.54
WS07,2011-04-16,38.91
WS07,2011-04-16,33.91
WS07,2011-07-06,63.37
