date,stream,SRP (µg/L),NO3-N (µg/L),NH4-N (µg/L),DIN (µg/L)
2011-07-12,WS06,4,227,63,290
2011-07-15,WS06,7,117,3,120
2011-07-18,WS06,5,221,331,552
2011-07-25,WS06,,,,
2011-08-03,WS06,12,285,88,373
2011-08-22,WS06,9,221,10,231
2011-08-29,WS06,4,300,77,377
2011-09-06,WS06,2,261,4,265
2011-09-12,WS06,13,139,13,152
2011-09-21,WS06,3,188,1,189
2011-09-26,WS06,2,228,23,251
2011-10-10,WS06,5,198,17,215
2011-10-24,WS06,2,151,0,151
2011-11-06,WS06,2,196,18,214
2011-11-21,WS06,2,184,38,222
2011-12-04,WS06,8,,,
2011-12-18,WS06,15,98,252,350
2011-12-30,WS06,,109,53,162
2012-01-23,WS06,2,341,22,363
2012-02-06,WS06,3,262,1,263
2012-02-27,WS06,2,,,
2012-03-12,WS06,2,111,15,126
2012-03-26,WS06,11,,,
2012-04-09,WS06,6,172,28,200
2012-04-21,WS06,7,97,20,117
2012-05-07,WS06,4,108,66,174
2012-05-17,WS06,5,159,0,159
2012-05-31,WS06,,206,29,235
2012-06-15,WS06,12,58,1,59
2012-07-01,WS06,,79,3,82
2012-07-15,WS06,,157,17,174
2012-08-14,WS06,6,128,38,166
2012-08-27,WS06,2,124,14,139
2012-09-06,WS06,4,166,177,343
2012-09-19,WS06,6,152,8,161
2012-10-12,WS06,2,177,0,177
2012-10-22,WS06,5,131,4,134
2012-11-08,WS06,8,150,0,150
2012-11-20,WS06,5,178,7,185
2012-12-03,WS06,6,161,14,174
2012-12-19,WS06,4,214,3,216
2013-01-04,WS06,2,196,2,198
2013-01-18,WS06,8,271,7,278
2013-01-31,WS06,2,165,3,168
2013-02-11,WS06,1,71,0,71
2013-02-26,WS06,3,227,0,227
2013-03-12,WS06,4,162,10,172
2013-03-28,WS06,3,50,5,55
2013-04-10,WS06,3,160,5,165
2013-04-25,WS06,9,161,1,161
2013-05-10,WS06,2,239,1,240
2013-05-24,WS06,8,195,42,237
2013-06-07,WS06,6,147,56,203
