month.year,month,stream,wetted.width.m,date
12-Jan,1,WS06,3.228571429,2012-01-05
12-Jan,1,WS07,1.542857143,2012-01-05
12-Jan,1,WS08,1.342857143,2012-01-05
12-Jan,1,WS09,1.471428571,2012-01-05
12-Jan,1,WS10,1.8,2012-01-05
13-Jan,1,WS06,1.592857143,2013-01-07
13-Jan,1,WS07,1.642857143,2013-01-07
13-Jan,1,WS08,1.342857143,2013-01-07
13-Jan,1,WS09,1.328571429,2013-01-07
13-Jan,1,WS10,1.928571429,2013-01-07
12-Feb,2,WS06,3.666666667,2012-01-30
12-Feb,2,WS07,2.385714286,2012-01-30
12-Feb,2,WS08,1.714285714,2012-01-30
12-Feb,2,WS09,1.857142857,2012-01-30
12-Feb,2,WS10,2.128571429,2012-01-30
13-Feb,2,WS06,2.657142857,2013-02-04
13-Feb,2,WS07,2.871428571,2013-02-04
13-Feb,2,WS08,1.628571429,2013-02-04
13-Feb,2,WS09,1.728571429,2013-02-04
13-Feb,2,WS10,1.842857143,2013-02-04
12-Mar,3,WS06,3,2012-03-05
12-Mar,3,WS07,2.157142857,2012-03-05
12-Mar,3,WS08,1.542857143,2012-03-05
12-Mar,3,WS09,1.314285714,2012-03-05
12-Mar,3,WS10,1.6,2012-03-05
13-Mar,3,WS06,3.057142857,2013-03-07
13-Mar,3,WS07,2.042857143,2013-03-07
13-Mar,3,WS08,1.657142857,2013-03-07
13-Mar,3,WS09,1.914285714,2013-03-07
13-Mar,3,WS10,1.528571429,2013-03-07
12-Apr,4,WS06,2.716666667,2012-04-09
12-Apr,4,WS07,1.885714286,2012-04-09
12-Apr,4,WS08,1.228571429,2012-04-09
12-Apr,4,WS09,1.114285714,2012-04-09
12-Apr,4,WS10,1.857142857,2012-04-09
13-Apr,4,WS06,2.9,2013-04-08
13-Apr,4,WS07,1.985714286,2013-04-08
13-Apr,4,WS08,1.671428571,2013-04-08
13-Apr,4,WS09,1.485714286,2013-04-08
13-Apr,4,WS10,1.657142857,2013-04-08
12-May,5,WS06,2.742857143,2012-05-01
12-May,5,WS07,1.885714286,2012-05-01
12-May,5,WS08,1.271428571,2012-05-01
12-May,5,WS09,1.414285714,2012-05-01
12-May,5,WS10,1.671428571,2012-05-01
13-May,5,WS06,3.071428571,2013-05-13
13-May,5,WS07,2.171428571,2013-05-13
13-May,5,WS08,1.885714286,2013-05-13
13-May,5,WS09,1.985714286,2013-05-13
13-May,5,WS10,2.242857143,2013-05-13
12-Jun,6,WS06,2.266666667,2012-05-28
12-Jun,6,WS07,1.771428571,2012-05-28
12-Jun,6,WS08,1.371428571,2012-05-28
12-Jun,6,WS09,1.314285714,2012-05-28
12-Jun,6,WS10,1.742857143,2012-05-28
13-Jun,6,WS06,3.425,2013-06-10
13-Jun,6,WS07,2.2,2013-06-10
13-Jun,6,WS08,2.25,2013-06-10
13-Jun,6,WS09,1.766666667,2013-06-10
13-Jun,6,WS10,1.6875,2013-06-10
11-Jul,7,WS06,2.5,2011-07-08
11-Jul,7,WS07,1.157142857,2011-07-08
11-Jul,7,WS08,1.371428571,2011-07-08
11-Jul,7,WS09,1.385714286,2011-07-08
11-Jul,7,WS10,1.657142857,2011-07-08
12-Jul,7,WS06,2.25,2012-07-06
12-Jul,7,WS07,1.371428571,2012-07-06
12-Jul,7,WS08,1.157142857,2012-07-06
12-Jul,7,WS09,0.928571429,2012-07-06
12-Jul,7,WS10,1.842857143,2012-07-06
13-Jul,7,WS06,3.55,2013-07-08
13-Jul,7,WS07,2.375,2013-07-08
13-Jul,7,WS08,3.175,2013-07-08
13-Jul,7,WS09,2.233333333,2013-07-08
13-Jul,7,WS10,2.05,2013-07-08
11-Aug,8,WS06,2.1,2011-08-08
11-Aug,8,WS07,0.728571429,2011-08-08
11-Aug,8,WS08,0.7,2011-08-08
11-Aug,8,WS09,0.414285714,2011-08-08
11-Aug,8,WS10,1.028571429,2011-08-08
12-Aug,8,WS06,2.416666667,2012-08-06
12-Aug,8,WS07,2.114285714,2012-08-06
12-Aug,8,WS08,1.014285714,2012-08-06
12-Aug,8,WS09,1.485714286,2012-08-06
12-Aug,8,WS10,1.785714286,2012-08-06
11-Sep,9,WS06,3.085714286,2011-09-12
11-Sep,9,WS07,1.357142857,2011-09-12
11-Sep,9,WS08,1.142857143,2011-09-12
11-Sep,9,WS09,1.2,2011-09-12
11-Sep,9,WS10,1.228571429,2011-09-12
12-Sep,9,WS06,2.683333333,2012-09-19
12-Sep,9,WS07,2.271428571,2012-09-19
12-Sep,9,WS08,1.5,2012-09-19
12-Sep,9,WS09,1.271428571,2012-09-19
12-Sep,9,WS10,1.714285714,2012-09-19
11-Oct,10,WS06,2.042857143,2011-10-12
11-Oct,10,WS07,1.142857143,2011-10-12
11-Oct,10,WS08,1.028571429,2011-10-12
11-Oct,10,WS09,1,2011-10-12
11-Oct,10,WS10,1.971428571,2011-10-12
12-Oct,10,WS06,4.466666667,2012-10-16
12-Oct,10,WS07,1.514285714,2012-10-16
12-Oct,10,WS08,1.414285714,2012-10-16
12-Oct,10,WS09,1.571428571,2012-10-16
12-Oct,10,WS10,1.314285714,2012-10-16
11-Nov,11,WS06,1.485714286,2011-11-03
11-Nov,11,WS07,1.628571429,2011-11-03
11-Nov,11,WS08,1.028571429,2011-11-03
11-Nov,11,WS09,0.828571429,2011-11-03
11-Nov,11,WS10,1.6,2011-11-03
12-Nov,11,WS06,2.171428571,2012-11-08
12-Nov,11,WS07,1.728571429,2012-11-08
12-Nov,11,WS08,1.071428571,2012-11-08
12-Nov,11,WS09,1.114285714,2012-11-08
12-Nov,11,WS10,1.257142857,2012-11-08
11-Dec,12,WS06,3.257142857,2011-12-16
11-Dec,12,WS07,1.985714286,2011-12-16
11-Dec,12,WS08,1.814285714,2011-12-16
11-Dec,12,WS09,1.942857143,2011-12-16
11-Dec,12,WS10,2.628571429,2011-12-16
12-Dec,12,WS06,1.971428571,2012-12-03
12-Dec,12,WS07,1.242857143,2012-12-03
12-Dec,12,WS08,1.128571429,2012-12-03
12-Dec,12,WS09,1.357142857,2012-12-03
12-Dec,12,WS10,1.428571429,2012-12-03
