stream,meter,diameters (cm)
WS07,70,2.6
WS07,70,2.6
WS07,70,1
WS07,70,0.8
WS07,70,0.5
WS07,70,1.1
WS07,70,1.3
WS07,70,4.968152866
WS07,70,6.305732484
WS07,70,4.012738854
WS07,70,0.5
WS07,70,0.5
WS07,65,4.203821656
WS07,65,0.5
WS07,65,0
WS07,65,0
WS07,65,0
WS07,65,0
WS07,65,0
WS07,65,0
WS07,60,0.8
WS07,60,1
WS07,60,0.6
WS07,60,0.8
WS07,60,0.7
WS07,60,2.101910828
WS07,60,2.292993631
WS07,60,0.5
WS07,60,0.5
WS07,60,0.5
WS07,60,
WS07,55,0.5
WS07,55,0.8
WS07,55,0.5
WS07,55,0.5
WS07,55,0.5
WS07,55,0.5
WS07,55,0.5
WS07,55,0.5
WS07,55,0.5
WS07,55,0
WS07,55,0
WS07,50,3.1
WS07,50,6.242038217
WS07,50,1.1
WS07,50,2.1
WS07,50,1.6
WS07,50,0
WS07,50,0
WS07,50,0
WS07,45,1.3
WS07,45,0.7
WS07,45,0.8
WS07,45,0.9
WS07,45,0.6
WS07,45,0.5
WS07,45,0.5
WS07,45,0.5
WS07,45,0.5
WS07,45,0
WS07,45,0
WS07,45,0
WS07,45,0
WS07,45,0
WS07,45,0
WS07,45,0
WS07,45,0
WS07,40,2.3
WS07,40,0.5
WS07,40,2.6
WS07,40,2.929936306
WS07,40,1.2
WS07,40,0.5
WS07,40,0.5
WS07,40,0.5
WS07,40,0.5
WS07,40,0.5
WS07,40,0.5
WS07,40,0.5
WS07,40,0.5
WS07,40,0.5
WS07,40,0.5
WS07,35,5.1
WS07,35,0.7
WS07,35,0.5
WS07,35,2.5
WS07,35,0.6
WS07,35,1.1
WS07,35,0.5
WS07,35,1.1
WS07,35,0.7
WS07,35,1.3
WS07,35,1.1
WS07,35,1
WS07,35,0.5
WS07,35,0.5
WS07,35,0.5
WS07,35,
WS07,30,5.4
WS07,30,0.9
WS07,30,1
WS07,30,0.5
WS07,30,0
WS07,30,0
WS07,30,0
WS07,25,1.52866242
WS07,25,1.5
WS07,25,0.9
WS07,25,0.5
WS07,25,0.5
WS07,25,0
WS07,25,0
WS07,25,0
WS07,25,0
WS07,25,0
WS07,20,1.4
WS07,20,3.057324841
WS07,20,40.76433121
WS07,20,0.6
WS07,20,0.6
WS07,20,2.611464968
WS07,20,3.3
WS07,20,5.414012739
WS07,20,0.5
WS07,20,0.5
WS07,20,0
WS07,20,0
WS07,20,0
WS07,20,0
WS07,20,0
WS07,15,0.5
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,15,0
WS07,10,7.1
WS07,10,1.7
WS07,10,0.6
WS07,10,1.5
WS07,10,0.5
WS07,10,0.5
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,10,0
WS07,5,0.5
WS07,5,0.5
WS07,5,0.5
WS07,5,0.5
WS07,5,
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,5,0
WS07,0,1.5
WS07,0,1.2
WS07,0,1.6
WS07,0,1
WS07,0,0.6
WS07,0,0
WS07,0,0
WS07,0,0
WS07,0,0
WS07,0,0
WS06,70,0.6
WS06,65,2.4
WS06,65,1.1
WS06,65,0.7
WS06,65,0.6
WS06,65,0.6
WS06,65,0.7
WS06,65,0.5
WS06,65,7.070063694
WS06,60,1
WS06,60,1.1
WS06,55,0.7
WS06,55,0.5
WS06,55,5.1
WS06,55,1.6
WS06,55,6.1
WS06,55,1.8
WS06,55,1.2
WS06,55,1.401273885
WS06,55,0.25
WS06,55,0.25
WS06,55,1.52866242
WS06,50,1.1
WS06,50,1.1
WS06,50,0.25
WS06,50,0.5
WS06,45,6.3
WS06,45,0.5
WS06,45,2.2
WS06,45,5.1
WS06,45,1
WS06,45,0.7
WS06,45,1
WS06,45,0.6
WS06,45,0.7
WS06,45,0.5
WS06,45,0.25
WS06,45,0.25
WS06,45,0.25
WS06,45,0.25
WS06,45,1.27388535
WS06,40,1.5
WS06,40,3.2
WS06,40,2
WS06,40,31.84713376
WS06,40,0.6
WS06,40,1.1
WS06,40,2.3
WS06,40,1.5
WS06,40,2.2
WS06,40,0.25
WS06,40,0.25
WS06,35,0.7
WS06,35,0.5
WS06,35,0.7
WS06,35,0.636942675
WS06,35,1.5
WS06,35,2.2
WS06,35,2.7
WS06,35,0.25
WS06,35,0.25
WS06,30,0.6
WS06,30,0.5
WS06,30,0.6
WS06,30,0.25
WS06,30,0.25
WS06,30,0.25
WS06,30,0.25
WS06,25,0.6
WS06,25,1
WS06,25,0.8
WS06,25,0.5
WS06,25,0.8
WS06,25,0.7
WS06,25,0.25
WS06,25,0.25
WS06,25,0.25
WS06,25,0.25
WS06,20,0.6
WS06,20,0.7
WS06,20,1.1
WS06,20,1.8
WS06,20,0.7
WS06,20,0.9
WS06,20,1.1
WS06,20,1.2
WS06,20,1.4
WS06,20,3.7
WS06,20,3.057324841
WS06,20,1.4
WS06,20,0.6
WS06,20,2.2
WS06,20,1.3
WS06,15,0.5
WS06,15,0.5
WS06,15,1.2
WS06,15,0.6
WS06,15,2.2
WS06,15,0.9
WS06,15,1.8
WS06,15,1.7
WS06,15,2.4
WS06,15,0.6
WS06,15,0.7
WS06,15,0.7
WS06,15,0.8
WS06,15,0.25
WS06,15,0.25
WS06,15,0.25
WS06,10,0.5
WS06,10,0.7
WS06,10,0.5
WS06,10,0.7
WS06,10,1.9
WS06,10,1.4
WS06,10,2.3
WS06,10,1.4
WS06,10,1.3
WS06,10,0.6
WS06,10,0.6
WS06,10,1.1
WS06,10,2.2
WS06,10,0.5
WS06,10,0.8
WS06,10,2.4
WS06,10,0.25
WS06,10,0.25
WS06,10,0.25
WS06,10,0.25
WS06,10,0.25
WS06,10,0.25
WS06,10,0.25
WS06,10,0.25
WS06,5,0.5
WS06,5,1
WS06,5,0.5
WS06,5,0.8
WS06,5,1.2
WS06,5,1.8
WS06,5,0.6
WS06,5,0.7
WS06,5,5.031847134
WS06,5,1.6
WS06,5,1.1
WS06,5,1.4
WS06,5,0.6
WS06,5,0.6
WS06,5,0.5
WS06,5,0.5
WS06,5,0.7
WS06,5,0.25
WS06,5,0.25
WS06,5,0.25
WS06,5,0.25
WS06,0,0.7
WS06,0,1.1
WS06,0,0.5
WS06,0,4.7
WS06,0,0.6
WS06,0,2.738853503
WS06,0,0.25
WS06,0,0.25
WS06,0,0.25
WS06,0,5.987261146
WS06,0,2.929936306
WS08,70,2.2
WS08,70,0.5
WS08,70,1.5
WS08,70,0.9
WS08,70,1.78343949
WS08,70,6.2
WS08,70,0.25
WS08,70,0.25
WS08,70,0.25
WS08,70,0.25
WS08,70,0
WS08,70,0
WS08,65,0.8
WS08,65,0.5
WS08,65,0.6
WS08,65,1.4
WS08,65,1.6
WS08,65,2.1
WS08,65,0.7
WS08,65,1
WS08,65,12.77070064
WS08,65,0.6
WS08,65,0.5
WS08,65,0.7
WS08,65,0.5
WS08,65,2.6
WS08,60,2.3
WS08,60,17.19745223
WS08,60,0
WS08,60,0
WS08,60,0
WS08,60,0
WS08,60,0
WS08,60,0
WS08,60,0
WS08,60,0
WS08,60,0
WS08,55,3.3
WS08,55,0.25
WS08,55,0
WS08,55,0
WS08,55,0
WS08,55,0
WS08,55,0
WS08,55,0
WS08,55,0
WS08,55,0
WS08,55,0
WS08,50,1.2
WS08,50,0.7
WS08,50,2.1
WS08,50,0.9
WS08,50,0.25
WS08,50,0.25
WS08,50,0.25
WS08,50,0.25
WS08,50,1.1
WS08,50,0.9
WS08,50,1
WS08,50,0.5
WS08,45,32.29299363
WS08,45,1.6
WS08,45,0.7
WS08,45,1.5
WS08,45,4.1
WS08,45,0.6
WS08,45,2.484076433
WS08,45,0.25
WS08,45,0.25
WS08,45,0
WS08,45,0
WS08,45,0
WS08,45,0
WS08,45,0
WS08,45,0
WS08,45,0
WS08,45,0
WS08,40,0.25
WS08,40,0.25
WS08,40,0.25
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,40,0
WS08,35,5.031847134
WS08,35,0.6
WS08,35,1
WS08,35,0.5
WS08,35,0.6
WS08,35,0.6
WS08,35,0.6
WS08,35,0.25
WS08,35,0.25
WS08,35,0.25
WS08,35,0.25
WS08,35,0
WS08,35,0
WS08,35,0
WS08,35,0
WS08,35,0
WS08,30,0.9
WS08,30,0.5
WS08,30,1.6
WS08,30,9.23566879
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,0.25
WS08,30,3.8
WS08,30,1.3
WS08,30,0.8
WS08,30,1.1
WS08,30,1.1
WS08,30,0.9
WS08,30,0.5
WS08,30,0.6
WS08,30,0.6
WS08,30,0.9
WS08,30,0.7
WS08,30,1.2
WS08,30,1.3
WS08,30,1.1
WS08,30,0.5
WS08,25,0.9
WS08,25,0.9
WS08,25,1.1
WS08,25,0.5
WS08,25,8.343949045
WS08,25,0.8
WS08,25,1
WS08,25,0.25
WS08,25,0.25
WS08,25,0
WS08,20,1.3
WS08,20,1.401273885
WS08,20,0.9
WS08,20,0.7
WS08,20,0.5
WS08,20,0.5
WS08,20,0.5
WS08,20,0.7
WS08,20,2.9
WS08,20,4.522292994
WS08,20,3.3
WS08,20,7.006369427
WS08,20,0.9
WS08,20,0.25
WS08,20,0.25
WS08,20,0.25
WS08,20,0.25
WS08,20,0.25
WS08,20,0.25
WS08,20,0
WS08,20,0
WS08,15,0.6
WS08,15,0.5
WS08,15,0.6
WS08,15,0.7
WS08,15,0.5
WS08,15,0.8
WS08,15,0.7
WS08,15,3.1
WS08,15,0.25
WS08,15,0.25
WS08,15,0.25
WS08,15,0
WS08,15,0
WS08,15,0
WS08,15,0
WS08,15,0
WS08,10,6.305732484
WS08,10,6.305732484
WS08,10,0.7
WS08,10,0.7
WS08,10,1.2
WS08,10,1
WS08,10,9.171974522
WS08,10,7.133757962
WS08,10,0.5
