stream,date,Fungal biomass.mg.g.afdm
WS06,2010-06-22,8.44126407
WS06,2010-06-22,12.94128076
WS06,2010-06-22,12.17122176
WS06,2010-06-22,12.31013552
WS06,2010-10-09,
WS06,2010-10-09,
WS06,2010-10-09,
WS06,2010-10-09,
WS06,2011-01-07,3.406320503
WS06,2011-01-07,10.85237713
WS06,2011-01-07,
WS06,2011-01-07,10.97219151
WS06,2011-04-16,21.21406558
WS06,2011-04-16,17.44551245
WS06,2011-04-16,17.01319135
WS06,2011-04-16,25.94682281
WS06,2011-07-06,24.35214412
WS06,2011-07-06,11.28608708
WS06,2011-07-06,10.66115676
WS06,2011-07-06,20.17531571
WS06,2011-08-17,14.79551869
WS06,2011-08-17,17.37786749
WS06,2011-08-17,22.85260964
WS06,2011-08-17,12.74018641
WS06,2011-10-24,21.14735609
WS06,2011-10-24,20.81317452
WS06,2011-10-24,13.42658334
WS06,2011-10-24,24.74454826
WS06,2012-01-02,13.63128567
WS06,2012-01-02,14.15568194
WS06,2012-01-02,12.19369649
WS06,2012-01-02,14.11680845
WS06,2012-04-22,11.30950678
WS06,2012-04-22,21.80215969
WS06,2012-04-22,13.6817422
WS06,2012-04-22,14.98931286
WS06,2012-06-28,11.84528547
WS06,2012-06-28,16.9756704
WS06,2012-06-28,26.14013242
WS06,2012-06-28,14.81074267
WS06,2012-10-13,19.58640923
WS06,2012-10-13,18.06299841
WS06,2012-10-13,15.84816433
WS06,2012-10-13,24.28515269
WS06,2013-01-02,24.00983984
WS06,2013-01-02,9.08048144
WS06,2013-01-02,23.41587554
WS06,2013-01-02,16.75384457
WS06,2013-04-20,19.39750916
WS06,2013-04-20,19.54978699
WS06,2013-04-20,35.94204099
WS06,2013-04-20,32.4047763
WS06,2013-07-08,18.85939221
WS06,2013-07-08,18.58069189
WS06,2013-07-08,17.8832326
WS06,2013-07-08,18.65518886
WS07,2010-06-22,18.07590938
WS07,2010-06-22,13.86201525
WS07,2010-06-22,15.20816511
WS07,2010-06-22,13.07386572
WS07,2010-10-09,
WS07,2010-10-09,11.62680264
WS07,2010-10-09,43.6639673
WS07,2010-10-09,8.295422373
WS07,2011-01-07,22.82963355
WS07,2011-01-07,18.47254988
WS07,2011-01-07,16.03186345
WS07,2011-01-07,11.35366738
WS07,2011-04-16,15.22682251
WS07,2011-04-16,18.91682014
WS07,2011-04-16,15.02973872
WS07,2011-04-16,11.87365607
WS07,2011-07-06,37.40656663
WS07,2011-07-06,26.99590606
WS07,2011-07-06,23.53363731
WS07,2011-07-06,22.63435735
WS07,2011-08-17,26.80751347
WS07,2011-08-17,18.7715971
WS07,2011-08-17,17.57595679
WS07,2011-08-17,12.07319061
WS07,2011-10-24,14.90933056
WS07,2011-10-24,13.24328172
WS07,2011-10-24,16.09450135
WS07,2011-10-24,8.829195315
WS07,2012-01-02,9.965628966
WS07,2012-01-02,21.17654309
WS07,2012-01-02,12.92427429
WS07,2012-01-02,11.07229156
WS07,2012-04-22,15.65189545
WS07,2012-04-22,15.46197602
WS07,2012-04-22,16.15776912
WS07,2012-04-22,13.15002192
WS07,2012-06-28,18.33225122
WS07,2012-06-28,19.193736
WS07,2012-06-28,14.88680243
WS07,2012-06-28,24.45999763
WS07,2012-10-13,31.66033741
WS07,2012-10-13,17.02005621
WS07,2012-10-13,14.29487548
WS07,2012-10-13,29.07370255
WS07,2013-01-02,22.05644255
WS07,2013-01-02,18.58235775
WS07,2013-01-02,12.44843502
WS07,2013-01-02,9.486905858
WS07,2013-04-20,15.34963208
WS07,2013-04-20,20.70984359
WS07,2013-04-20,16.98613058
WS07,2013-04-20,18.13020373
WS07,2013-07-08,25.00938135
WS07,2013-07-08,23.98465577
WS07,2013-07-08,18.82857768
WS07,2013-07-08,18.5469094
WS08,2010-06-22,
WS08,2010-06-22,
WS08,2010-06-22,
WS08,2010-06-22,
WS08,2010-10-09,25.70057257
WS08,2010-10-09,27.36159653
